n,g,steps,dt,target_depth,ansatz_depth,compression_ratio,max_td,mean_td,compile_err_min,compile_err_max,compile_err_spread,seeds_agree,elapsed_s
6,0.3,6,0.1,24,12,2,0.045138064251691465,0.04130206167255552,0.374414586881317,0.4370334063778057,0.06261881949648868,0,15.125411667162552
6,0.3,6,0.1,24,6,4,0.027997376381089505,0.024882703166016585,0.21905966947144867,0.4193825460189467,0.20032287654749803,0,5.826990250032395
6,0.3,6,0.1,24,3,8,0.008580660186940545,0.008093749600637615,0.06529999028541816,0.07741076457998534,0.012110774294567181,0,2.1562160840258002
6,0.3,8,0.1,32,16,2,0.07140935259249798,0.06777049375992072,0.06815308845770178,0.5670611136943337,0.49890802523663186,0,23.104557667160407
6,0.3,8,0.1,32,8,4,0.03469253675966606,0.031709874659026235,0.3267595741200735,0.5889799660521177,0.26222039193204416,0,8.375179708003998
6,0.3,8,0.1,32,4,8,0.047092933244425886,0.04355126584969158,0.37488503168051146,0.7718049529362433,0.39691992125573183,0,3.0266771249007434
6,1.0,2,0.1,8,4,2,0.0067438222540656045,0.005774064873075699,0.050910885346362074,0.06108866804875596,0.01017778270239389,0,1.4918829158414155
6,1.0,2,0.1,8,2,4,0.008634278011253946,0.007353592576260513,0.06269610072957107,0.06269610073025106,6.799838470072928e-13,1,0.5129866250790656
6,1.0,2,0.1,8,1,8,0.30286789064717673,0.26623104465477054,2.2254021464688014,2.2254021464688143,1.2878587085651816e-14,1,0.296158250188455
6,1.0,4,0.1,16,8,2,0.03503726099838314,0.03218085474935799,0.3007911103656228,0.4409421010924097,0.14015099072678694,0,8.112650125054643
6,1.0,4,0.1,16,4,4,0.03480086539384071,0.03135808699467824,0.26773317875488467,0.5048605168959674,0.23712733814108278,0,2.6460413329768926
6,1.0,4,0.1,16,2,8,0.07949102763165683,0.06788545599263605,0.5682483801721895,0.568248380172377,1.8751666885918894e-13,1,0.6416949999984354
6,1.0,6,0.1,24,12,2,0.026930821381343843,0.02492366226750302,0.13810411364441452,0.42157742232103035,0.2834733086766158,0,13.754821582930163
6,1.0,6,0.1,24,6,4,0.016447036232391077,0.015202938362422789,0.1241157052989026,0.7984588673039219,0.6743431620050193,0,6.13073975010775
6,1.0,6,0.1,24,3,8,0.04891771720095059,0.04647989032109866,0.37163530811641116,0.7737360348386969,0.40210072672228575,0,1.8566736248321831
6,1.0,8,0.1,32,16,2,0.02264878346861053,0.021601327967980335,0.08499115513571359,0.1937433333162474,0.10875217818053382,0,22.157499457942322
6,1.0,8,0.1,32,8,4,0.011978555956722769,0.010873050229441211,0.12657056768721578,0.19589380097291267,0.0693232332856969,0,8.552599125076085
6,1.0,8,0.1,32,4,8,0.013678060149346659,0.012749137856136072,0.11910273849992455,0.1343184292082819,0.015215690708357363,0,2.8007768751122057
