n,g,steps,dt,target_depth,ansatz_depth,max_td,mean_td,compile_err_min,compile_err_max,compile_err_spread,seeds_agree,elapsed_s
4,0.3,8,0.1,32,12,0.02850809586101443,0.024994778448041564,0.12494657610326503,0.19708972655775175,0.07214315045448673,0,2.439881500089541
4,0.3,12,0.1,48,2,0.3013571384538891,0.24172730806130094,1.0110122822817842,1.011012282281791,6.8833827526759706e-15,1,0.7432247090619057
4,0.3,12,0.1,48,3,0.07240826546088411,0.06537429472659684,0.27200602472089247,0.3020322069948871,0.030026182273994617,0,0.798858999973163
4,0.3,12,0.1,48,4,0.0038181093896938077,0.003406438216915229,0.027966499756910505,0.06969651401064753,0.04173001425373702,0,0.8284403751604259
4,0.3,12,0.1,48,5,0.02576279763129927,0.02279661010089619,0.09571291600348435,1.3636624376031499,1.2679495215996655,0,1.2717672500293702
4,0.3,12,0.1,48,6,0.005719308316890515,0.004383272451477583,0.01814726485468514,0.06515635434914899,0.04700908949446385,0,1.3729344171006233
4,0.3,12,0.1,48,8,0.01116870711897128,0.009688992064705245,0.02070300099966671,0.046431396896493206,0.025728395896826496,0,1.6118527499493212
4,0.3,12,0.1,48,10,0.018971481370636104,0.01648896361142231,0.03852799520489944,0.0751944598689474,0.036666464664047965,0,2.2413312909193337
4,0.3,12,0.1,48,12,0.022052235100708095,0.019476834570465763,0.057029185785511013,0.08971301846854535,0.03268383268303433,0,2.778822625055909
4,0.3,16,0.1,64,2,0.34845023101892586,0.3061921603409171,1.2992491122124101,1.2992491122124223,1.2212453270876722e-14,1,15.157276083016768
4,0.3,16,0.1,64,3,0.018946306033764456,0.018395222845515907,0.0756180305876257,0.0756180305929817,5.3559934265479114e-12,1,1.7117324159480631
4,0.3,16,0.1,64,4,0.011708884510538175,0.011096925934568508,0.04592867047740213,0.06690611600064249,0.020977445523240358,0,1.708946584025398
4,0.3,16,0.1,64,5,0.014756349449552635,0.013932837015896982,0.05772160796636565,0.0756157047891419,0.017894096822776248,0,2.2453969579655677
4,0.3,16,0.1,64,6,0.009493688804955793,0.007943548095478535,0.03934256304470289,0.053120677752701614,0.013778114707998723,0,3.2790681670885533
4,0.3,16,0.1,64,8,0.010698429612648903,0.009628535166228382,0.030213802698542767,0.1889331446488181,0.15871934195027534,0,3.566141208866611
4,0.3,16,0.1,64,10,0.017179551634124622,0.015512490869612362,0.061614406249627246,0.10809923168917089,0.046484825439543645,0,4.005549874855205
4,0.3,16,0.1,64,12,0.15072931063649692,0.10911256638713043,0.062066697350309966,0.7592298065354449,0.6971631091851349,0,3.925481541082263
4,1.0,4,0.1,16,3,0.020400702090364636,0.0190440301777226,0.07760702265762463,0.08031628870986371,0.002709266052239076,0,1.043222458800301
4,1.0,4,0.1,16,5,0.018772134872927497,0.017870846553406896,0.07441622802711297,0.07931508358002211,0.004898855552909143,0,1.1030740421265364
4,1.0,4,0.1,16,6,0.021550820230825538,0.01720086570881298,0.0802078226016336,0.16573390578716554,0.08552608318553194,0,1.2696348340250552
4,1.0,4,0.1,16,10,0.018592497113998435,0.016623758087600922,0.08967053352746358,0.1397182362366998,0.05004770270923621,0,1.8394571249373257
4,1.0,4,0.1,16,12,0.03097777017637014,0.028209401319311538,0.1052570514215192,0.14082618060519805,0.035569129183678855,0,2.2844690000638366
4,1.0,6,0.1,24,2,0.16471530686047253,0.14470365966474077,0.6008062342087577,0.6008062342087754,1.7763568394002505e-14,1,0.5190998751204461
4,1.0,6,0.1,24,4,0.009736619830500157,0.008634128062706595,0.03628247011578983,0.6007059578817243,0.5644234877659344,0,0.6942909997887909
4,1.0,6,0.1,24,5,0.014290890281671624,0.012880395087852145,0.05277065185388858,0.2650239774299896,0.21225332557610105,0,0.9562110828701407
4,1.0,6,0.1,24,8,0.035820829856976356,0.03196761593227937,0.05021277696645406,0.1333564864625635,0.08314370949610944,0,1.5190222498495132
4,1.0,6,0.1,24,10,0.01987985779926432,0.016476848899638352,0.08122927910325786,0.13839409592085328,0.057164816817595415,0,1.984381458023563
4,1.0,8,0.1,32,2,0.31831460641513176,0.27996237676715896,1.1650554497164392,1.1650554497164498,1.0658141036401503e-14,1,0.34631595900282264
4,1.0,8,0.1,32,3,0.0067610850139232315,0.006448808734904677,0.027012542335174063,3.1437379958373497,3.1167254535021756,0,0.5973888328298926
4,1.0,8,0.1,32,5,0.005039716510522048,0.004655316129325603,0.0163698330879625,0.2551250597745227,0.2387552266865602,0,1.062269166111946
4,1.0,8,0.1,32,6,0.007715166810095719,0.0064465847400667865,0.030183283168986774,0.05318110328318331,0.022997820114196536,0,1.2729397499933839
4,1.0,8,0.1,32,10,0.007518191863578803,0.006355494068171992,0.02800388343502768,0.04693522787626578,0.018931344441238097,0,1.8626364588271827
4,1.0,8,0.1,32,12,0.01872167145533543,0.015654800185537113,0.04490830273558216,0.07162822786683354,0.026719925131251376,0,2.2327069169841707
4,1.0,12,0.1,48,2,0.6113624834309308,0.5444755720535552,2.3282383762640375,2.328238376264043,5.329070518200751e-15,1,0.52851662482135
4,1.0,12,0.1,48,3,0.05083042013737721,0.04852392509933508,0.20251324679659552,0.20251324679671834,1.2281842209915794e-13,1,0.5661971250083297
4,1.0,12,0.1,48,4,0.04116654970135604,0.039108194041982236,0.16185339362107554,0.38822841334894204,0.2263750197278665,0,0.7036193339154124
4,1.0,12,0.1,48,5,0.014231492059979131,0.013662114788441171,0.05560682430716662,0.2575110211405606,0.201904196833394,0,1.2453311660792679
4,1.0,12,0.1,48,6,0.02398967648625746,0.022090912974242087,0.0898625753645252,0.661548244725047,0.5716856693605218,0,1.3124223328195512
4,1.0,12,0.1,48,8,0.014440805535735617,0.01248690709779072,0.031214085065889522,0.14492920613877336,0.11371512107288384,0,2.1564486250281334
4,1.0,12,0.1,48,10,0.034159484446128374,0.02887373755475158,0.07672448264984649,0.12583647180079854,0.04911198915095205,0,2.3211039998568594
4,1.0,12,0.1,48,12,0.07631417008930302,0.058611212519602905,0.1771442962310806,0.38925595469294155,0.21211165846186095,0,2.855877040885389
4,1.0,16,0.1,64,2,0.6220855793765665,0.5815971105282165,3.056860290735244,3.3870555402789164,0.33019524954367263,0,1.807752541033551
4,1.0,16,0.1,64,3,0.18490051706667585,0.17665848089924552,0.7184414394033201,0.7184414394033497,2.964295475749168e-14,1,2.0639988330658525
4,1.0,16,0.1,64,4,0.010799037936344498,0.010650969168704024,0.06192325984379428,0.061923909698026254,6.498542319752221e-07,1,2.0654755840077996
4,1.0,16,0.1,64,5,0.01192342868630077,0.011365568328493456,0.06244723425264704,3.061962543370141,2.999515309117494,0,2.6035634169820696
4,1.0,16,0.1,64,6,0.010795225401781508,0.0106523745853573,0.06054699356413635,0.061923259823111365,0.001376266258975016,0,3.0973165838513523
4,1.0,16,0.1,64,8,0.011840787016142582,0.011090081713964521,0.0594895830752534,0.06298826456100973,0.0034986814857563275,0,3.533286417135969
4,1.0,16,0.1,64,10,0.08237388705405652,0.06498636569081125,0.06738044613603,0.49927585466704894,0.43189540853101893,0,4.3323884170968086
4,1.0,16,0.1,64,12,0.07099754982237491,0.06251358539112678,0.08322585002402659,0.3687599173463888,0.2855340673223622,0,4.958121499978006
4,1.5,4,0.1,16,3,0.044220725031535624,0.03922711713304222,0.1617196911992092,0.1730896213857633,0.011369930186554106,0,1.0890170000493526
4,1.5,4,0.1,16,5,0.04249284289324727,0.03549196331768787,0.14577686082342292,1.710116760163688,1.564339899340265,0,1.0744398331735283
4,1.5,4,0.1,16,6,0.013250447171294526,0.011381538365396649,0.064516181692804,0.12646469197159302,0.06194851027878902,0,1.1818033340387046
4,1.5,4,0.1,16,10,0.045579991988089374,0.038622504922715586,0.13193367393283864,0.1946811133930045,0.06274743946016587,0,1.7165470409672707
4,1.5,4,0.1,16,12,0.021091029198489313,0.017852119772330845,0.07196030352186501,0.14703930836841797,0.07507900484655296,0,2.3450917080044746
4,1.5,6,0.1,24,2,0.22289095084395805,0.18546947654222593,0.7651351522417705,0.7651351522417961,2.55351295663786e-14,1,0.3018155409954488
