config_label,n,g,steps,ansatz_d,drop_rate,init_seed,seed,target_depth,final_cost,elapsed_s,last10_std
easy,6,0.3,2,2,0.7,5,5700,8,5.6009346289798145e-06,0.2937418750952929,7.831598520158267e-16
moderate,8,0.3,8,4,0.0,1,1000,32,0.002923184369339804,5.103819750016555,0.00028537221231819915
moderate,8,0.3,8,4,0.05,1,1050,32,0.0030876296438691053,2.2219696668908,0.00030469238741231123
moderate,8,0.3,8,4,0.1,1,1100,32,0.002962451898122387,2.270852667046711,0.00028650570019518086
moderate,8,0.3,8,4,0.15,1,1150,32,0.002923184368139875,2.307420624885708,0.0002853722121664722
moderate,8,0.3,8,4,0.2,1,1200,32,0.0030721081349283086,2.412433832883835,0.00030574294505699974
moderate,8,0.3,8,4,0.25,1,1250,32,0.0029226828529231863,2.5251258749049157,0.0002852957496230849
moderate,8,0.3,8,4,0.3,1,1300,32,0.0017393713405666755,2.2919154590927064,0.00010587142621374594
moderate,8,0.3,8,4,0.4,1,1400,32,0.002415622971844389,2.432120667072013,0.00026861869893785663
moderate,8,0.3,8,4,0.5,1,1500,32,0.002112089598247824,2.359729874879122,0.00017708816892548064
moderate,8,0.3,8,4,0.7,1,1700,32,0.001491054369936462,2.2842720421031117,7.71453913196431e-05
moderate,8,0.3,8,4,0.0,2,2000,32,0.010883353512528116,2.3558725418988615,0.0011229912243901456
moderate,8,0.3,8,4,0.05,2,2050,32,0.010914103929025254,2.2722362079657614,0.001121633320050452
moderate,8,0.3,8,4,0.1,2,2100,32,0.009432829266138087,2.162194292061031,0.001026954451127946
moderate,8,0.3,8,4,0.15,2,2150,32,0.4967353549439375,2.1640534580219537,1.4354126859707845e-05
moderate,8,0.3,8,4,0.2,2,2200,32,0.00901597913493668,2.2115652088541538,0.0010117798802572904
moderate,8,0.3,8,4,0.25,2,2250,32,0.014999224776348408,2.285655542043969,0.0004902996330674967
moderate,8,0.3,8,4,0.3,2,2300,32,0.011458535870934927,2.3220702081453055,0.0010573716786678226
moderate,8,0.3,8,4,0.4,2,2400,32,0.49672586198485424,2.1381786251440644,1.344987873395786e-05
moderate,8,0.3,8,4,0.5,2,2500,32,0.0025210593568074646,2.06699191685766,0.00018873245931391247
moderate,8,0.3,8,4,0.7,2,2700,32,0.003303475073816564,1.9282727499958128,0.00043588200879534635
moderate,8,0.3,8,4,0.0,3,3000,32,0.006103765060328614,2.1740507499780506,0.0002806883370921852
moderate,8,0.3,8,4,0.05,3,3050,32,0.006103765060332833,2.1902787080034614,0.0002806883370912362
moderate,8,0.3,8,4,0.1,3,3100,32,0.00610334536152024,2.420387707883492,0.00028068342664153915
moderate,8,0.3,8,4,0.15,3,3150,32,0.013572576663500646,2.2941535420250148,0.00040853503455793834
moderate,8,0.3,8,4,0.2,3,3200,32,0.006134605894282608,2.27360179182142,0.00028157756847908106
moderate,8,0.3,8,4,0.25,3,3250,32,0.4972444112374905,2.1396548750344664,0.00019658567628821368
moderate,8,0.3,8,4,0.3,3,3300,32,0.006395094202005014,2.1338774159085006,0.00028478691723259595
moderate,8,0.3,8,4,0.4,3,3400,32,0.49740358929102557,1.9362990411464125,0.0001959346438392222
moderate,8,0.3,8,4,0.5,3,3500,32,0.4955447126356376,1.8978514161426574,0.00016748332329846895
moderate,8,0.3,8,4,0.7,3,3700,32,0.013312697117504158,1.878772750031203,0.00033897177302610285
moderate,8,0.3,8,4,0.0,4,4000,32,0.8556882260083998,2.153455040883273,5.555270417376054e-06
moderate,8,0.3,8,4,0.05,4,4050,32,0.8556882260082224,2.194647040916607,5.5552703906362805e-06
moderate,8,0.3,8,4,0.1,4,4100,32,0.8556882361115625,2.2126948330551386,5.556821005690535e-06
moderate,8,0.3,8,4,0.15,4,4150,32,0.8556853969399612,2.2925303331576288,5.079178463128284e-06
moderate,8,0.3,8,4,0.2,4,4200,32,0.8556939522508498,2.2189043750986457,6.776093276500171e-06
moderate,8,0.3,8,4,0.25,4,4250,32,0.8556860476288621,2.1259399589616805,5.219372651149654e-06
moderate,8,0.3,8,4,0.3,4,4300,32,0.8556874287711185,2.093823708826676,5.5623978244776275e-06
moderate,8,0.3,8,4,0.4,4,4400,32,0.8556876847300969,2.023739625001326,5.958134140458686e-06
moderate,8,0.3,8,4,0.5,4,4500,32,0.8564850574529115,2.060417165979743,9.58263752564822e-05
moderate,8,0.3,8,4,0.7,4,4700,32,0.8556715340849004,1.9897039160132408,4.127061107658178e-06
moderate,8,0.3,8,4,0.0,5,5000,32,0.49578912722811164,2.2144018749240786,1.5675585902508992e-05
moderate,8,0.3,8,4,0.05,5,5050,32,0.4957891272281165,2.147975416854024,1.5675585900068738e-05
moderate,8,0.3,8,4,0.1,5,5100,32,0.4958019322170162,2.1170794169884175,1.4955027235546087e-05
moderate,8,0.3,8,4,0.15,5,5150,32,0.4958682331677684,1.9817590829916298,1.087638532385001e-05
moderate,8,0.3,8,4,0.2,5,5200,32,0.495895266497977,1.9640069578308612,1.0382643050493508e-05
moderate,8,0.3,8,4,0.25,5,5250,32,0.49587362182538564,1.9970347909256816,1.0718081840773143e-05
moderate,8,0.3,8,4,0.3,5,5300,32,0.4956013253827338,2.0955062080174685,7.19675431213655e-05
moderate,8,0.3,8,4,0.4,5,5400,32,0.4959103998922112,2.0582124169450253,9.740894497655042e-06
moderate,8,0.3,8,4,0.5,5,5500,32,0.003923960012490069,2.2053240831010044,0.0003797463959610998
moderate,8,0.3,8,4,0.7,5,5700,32,0.8593888628810606,2.0835833749733865,8.559406197912608e-07
overparam_g1,10,1.0,8,10,0.0,1,1000,32,0.0004043263570858713,13.160657790955156,1.9684628870077537e-05
overparam_g1,10,1.0,8,10,0.05,1,1050,32,0.00037991117713320754,12.61376537499018,1.6497209559789868e-05
overparam_g1,10,1.0,8,10,0.1,1,1100,32,0.0006782248037939809,12.911183707881719,2.086831702025255e-05
overparam_g1,10,1.0,8,10,0.15,1,1150,32,0.0005584512816370069,12.562223083106801,1.6886519380153097e-05
overparam_g1,10,1.0,8,10,0.2,1,1200,32,0.009805849220679841,12.033729708055034,0.0001726887101139329
