label,n,g,steps,ansatz_d,ensemble_max_td,single0_max_td,single1_max_td,single2_max_td,best_single_max_td,ensemble_over_best,ensemble_over_worst,qp_weights,compile_errs
n8_g15_s4_d4,8,1.5,4,4,0.07576281955410635,0.6745000784877958,0.07322244349971013,0.12234912636645287,0.07322244349971013,1.0346939535609225,0.11232440435583609,"0.040,0.858,0.102","1.16e+01,1.13e+00,1.81e+00"
n10_g15_s4_d4,10,1.5,4,4,0.0697886854671115,0.07078661479740939,0.6786075636557878,0.1093478247447864,0.07078661479740939,0.9859022876972724,0.10284100738746059,"0.721,0.018,0.261","2.20e+00,2.31e+01,3.43e+00"
n10_g10_s4_d4,10,1.0,4,4,0.06632634317795633,0.0669045292083892,0.6850332736281237,0.0784168722009094,0.0669045292083892,0.991358043509551,0.09682207526456905,"0.597,0.025,0.379","2.05e+00,2.35e+01,2.47e+00"
n10_g03_s6_d4,10,0.3,6,4,0.06450624420245411,0.06355273830400684,0.6846988899555939,0.08514586948868635,0.06355273830400684,1.0150033802459641,0.09421111257627081,"0.693,0.019,0.288","1.98e+00,2.35e+01,2.63e+00"
n8_g15_s8_d4,8,1.5,8,4,0.0567924769641641,0.7846912921738082,0.056562043129628134,0.5971408594596661,0.056562043129628134,1.00407400125218,0.07237556671086982,"0.000,0.999,0.001","1.31e+01,8.68e-01,9.77e+00"
n4_g15_s8_d4,4,1.5,8,4,0.047690471053887386,0.047333433804357804,0.04851341858800038,0.628667968855552,0.047333433804357804,1.0075430244719898,0.07585955292219627,"0.500,0.499,0.001","1.65e-01,1.66e-01,2.42e+00"
n10_g03_s2_d4,10,0.3,2,4,0.0025571851620452635,0.0025129381532910285,0.003238681355061896,0.707002205415614,0.0025129381532910285,1.017607679160861,0.0036169408559935286,"0.919,0.081,0.000","8.00e-02,1.01e-01,2.45e+01"
n8_g03_s2_d4,8,0.3,2,4,0.0026894462481080123,0.0027802117117354643,0.707222345855216,0.002808465295264375,0.0027802117117354643,0.9673530388911302,0.003802829850993709,"0.501,0.000,0.499","4.23e-02,1.22e+01,4.32e-02"
