n_qubits,dt,steps,total_time,target_depth,ansatz_depth,frac,diamond_bound,delta_ens,R,best_single_frob,active_circuits
4,0.2,8,1.6,32,16,0.5,40.88962256933523,3.9247193129936506,5.748059145776766,4.956290415964622,5
4,0.2,8,1.6,32,24,0.75,41.098211684576285,4.241733309293915,5.710932066308305,5.334471100844002,5
4,0.2,8,1.6,32,32,1.0,42.53079702456448,4.412302645131149,5.805703379806979,5.468962457208145,5
4,0.5,1,0.5,4,1,0.25,7.875821367581796,1.979231674036205,1.9792316740365152,1.9792316740362745,5
4,0.5,1,0.5,4,2,0.5,8.943370637358148,1.405303145433091,2.476441872221508,1.4096500742424023,2
4,0.5,1,0.5,4,3,0.75,7.007525968953715,1.0345546157324854,2.222254876806156,1.4212558671913262,5
4,0.5,1,0.5,4,4,1.0,10.511466347807788,1.4191554142918728,2.770046122219636,1.836100064084723,3
4,0.5,2,1.0,8,2,0.25,41.39728313642681,4.858943040438847,5.628445349787907,5.495500948930297,3
4,0.5,2,1.0,8,4,0.5,39.56050257864385,3.6020065852700762,5.688276488366551,3.9846012691128863,5
4,0.5,2,1.0,8,6,0.75,39.622051004756344,3.542005606486673,5.704212460259786,3.935587550133789,4
4,0.5,2,1.0,8,8,1.0,40.13939919845787,3.901365658441145,5.686533907537665,4.426898504362603,5
4,0.5,4,2.0,16,4,0.25,40.95652573940473,4.62366590125334,5.631091718032841,5.515295606395851,5
4,0.5,4,2.0,16,8,0.5,40.14836672129562,4.296002669090454,5.617504907262184,5.43569328202048,5
4,0.5,4,2.0,16,12,0.75,40.41880672644441,4.124471730683545,5.671848311183694,5.189659329646973,5
4,0.5,4,2.0,16,16,1.0,38.54789596281899,4.086000426170146,5.511433126735613,5.3557226092213694,5
4,0.5,8,4.0,32,8,0.25,43.0016611264211,4.387004147881518,5.850440396299928,5.4971968477433775,5
4,0.5,8,4.0,32,16,0.5,42.36605446738959,4.1816429545021965,5.831189291935668,5.320410513345636,5
4,0.5,8,4.0,32,24,0.75,42.444841410102555,4.358747198767637,5.807525033313871,5.512069728052161,5
4,0.5,8,4.0,32,32,1.0,42.54626295639005,4.271133066401262,5.831294609568919,5.335036247179917,5
6,0.1,1,0.1,4,1,0.25,3.5347113669612407,1.129486174399919,1.1294861744002902,1.1294861744000197,5
6,0.1,1,0.1,4,2,0.5,19.760471590357504,1.238628296761806,4.15730862419834,2.1130965258286647,4
