steps,total_time,target_depth,ansatz_depth,frac,diamond_bound,superop_norm,best_single_frob,active,time_s
1,0.1,4,1,0.25,3.534711366960229,0.39733866648150085,1.129486174399856,5,15.4
1,0.1,4,2,0.5,145.4712659113263,1.6809522246916053,10.636599887698587,5,17.3
1,0.1,4,3,0.75,146.0264106058872,1.6351400348269634,11.283535205515022,5,19.5
1,0.1,4,4,1.0,145.61074797655516,1.654871612975445,11.052803156572885,5,27.0
